epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.37574,1.61959,5.09323,1.51279,0,0,0,0,1.97078,5.08363,1.49557,0,0,0
2,9.85659,2.01226,4.84334,1.4212,0,0,0,0,1.93062,5.06387,1.48767,9.00001e-06,9.00001e-06,9.00001e-06
3,11.4475,2.03039,5.17009,1.42546,0,0,0,0,1.88848,5.07715,1.47809,1.782e-05,1.782e-05,1.782e-05
4,12.9702,1.54177,4.97328,1.42597,0,0,0,0,1.8199,5.07377,1.46247,2.64601e-05,2.64601e-05,2.64601e-05
5,14.5403,1.98657,4.89996,1.36298,0,0,0,0,1.73741,5.07196,1.44091,3.49201e-05,3.49201e-05,3.49201e-05
6,16.0674,1.91628,5.27522,1.34869,0,0,0,0,1.64505,5.04693,1.40795,4.32002e-05,4.32002e-05,4.32002e-05
7,17.6167,1.822,4.94345,1.39266,0,0,0,0,1.57282,4.97797,1.35031,5.13003e-05,5.13003e-05,5.13003e-05
8,19.1147,1.36459,4.78606,1.22003,0,0,0,0,1.3742,4.88219,1.26972,5.92204e-05,5.92204e-05,5.92204e-05
9,20.5769,1.42135,4.81096,1.20809,0,0,0,0,1.2833,4.84422,1.22536,6.69606e-05,6.69606e-05,6.69606e-05
10,22.1243,1.28805,4.6456,1.14939,0,0,0,0,1.23752,4.82612,1.19807,7.45207e-05,7.45207e-05,7.45207e-05
11,23.687,1.35123,4.62869,1.10546,0,0,0,0,1.25645,4.76934,1.16937,8.19009e-05,8.19009e-05,8.19009e-05
12,25.1904,1.27705,4.52515,1.11989,0,0,0,0,1.22062,4.65952,1.11627,8.91011e-05,8.91011e-05,8.91011e-05
13,26.87,1.97683,4.86734,1.29426,0,0,0,0,1.22833,4.60595,1.1039,9.61213e-05,9.61213e-05,9.61213e-05
