epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.82622,1.31343,2.83551,1.56283,0.00333,1,0.18846,0.06905,1.47371,3.47271,1.70802,0,0,0
2,7.49984,1.02313,2.93507,1.27593,0.00333,1,0.19327,0.07298,1.44945,3.40189,1.68285,1.9802e-05,1.9802e-05,1.9802e-05
3,9.53494,1.62598,3.02001,1.88337,0.00333,1,0.16746,0.07053,1.43713,3.30384,1.63804,3.9208e-05,3.9208e-05,3.9208e-05
4,11.402,1.11876,3.19989,1.41249,0.00333,1,0.15614,0.08648,1.15351,3.35989,1.4752,5.8218e-05,5.8218e-05,5.8218e-05
5,13.6622,1.26709,2.74007,1.45271,0.00333,1,0.23167,0.10921,1.08108,3.30438,1.40355,7.6832e-05,7.6832e-05,7.6832e-05
6,15.7955,1.87272,3.52449,2.085,0.00333,1,0.23643,0.11859,1.01073,3.24499,1.34441,9.505e-05,9.505e-05,9.505e-05
7,18.3764,1.21598,2.88808,1.4362,0.00333,1,0.30648,0.12156,0.92345,3.24313,1.27363,0.000112872,0.000112872,0.000112872
8,20.3156,1.08981,2.73219,1.49716,0.00333,1,0.30627,0.12135,0.91919,3.17776,1.23881,0.000130298,0.000130298,0.000130298
9,22.2833,0.88793,2.76972,1.17223,0.00333,1,0.48959,0.19246,0.87659,3.15364,1.19322,0.000147328,0.000147328,0.000147328
10,24.6004,1.15399,2.8597,1.38622,0.00333,1,0.49154,0.19859,0.90068,3.13445,1.18658,0.000163962,0.000163962,0.000163962
11,26.3335,1.00843,2.89903,1.23484,0.00333,1,0.45666,0.21659,0.85016,3.13215,1.18131,0.0001802,0.0001802,0.0001802
12,27.9983,1.05154,2.53156,1.1536,0.00333,1,0.53518,0.31727,0.81916,3.1202,1.14844,0.000196042,0.000196042,0.000196042
13,29.648,1.14009,2.88034,1.24295,0.00333,1,0.78786,0.59535,0.68806,3.08632,1.08685,0.000211488,0.000211488,0.000211488
14,31.3864,0.98813,2.55525,1.37065,0.00333,1,0.84917,0.65419,0.67357,3.07092,1.05923,0.000226538,0.000226538,0.000226538
15,33.2213,0.80096,2.53152,1.04282,0.00333,1,0.995,0.75836,0.68779,3.06803,1.06297,0.000241192,0.000241192,0.000241192
16,34.809,0.61415,2.29741,1.02348,0.00333,1,0.995,0.80185,0.63158,3.0897,1.03126,0.00025545,0.00025545,0.00025545
17,36.4207,0.94875,2.28427,1.1487,0.00333,1,0.995,0.81413,0.62546,3.06796,1.02437,0.000269312,0.000269312,0.000269312
18,37.9671,0.918,2.21893,1.19002,0.00333,1,0.995,0.81413,0.62546,3.06796,1.02437,0.000282778,0.000282778,0.000282778
19,39.5775,0.84207,2.17062,1.14861,0.00333,1,0.995,0.82876,0.61774,3.03452,1.01421,0.000295848,0.000295848,0.000295848
